trajectory_id,pickup_venueCategory,pickup_name,pickup_category,dropoff_venueCategory,dropoff_name,dropoff_category,passenger_count,pickup_hour,dropoff_hour,pickup_week
658,Subway,Iwamotocho Station (S08) (岩本町駅),Rail Station,Subway,Shinozaki Station (S20) (篠崎駅),Metro Station,3,10,11,Tuesday
659,Subway,Iwamotocho Station (S08) (岩本町駅),Rail Station,Subway,Shinozaki Station (S20) (篠崎駅),Metro Station,4,10,10,Friday
660,Movie Theater,Cinema Rise (シネマライズ),Movie Theater,Office,Shibuya Mark City (渋谷マークシティ),Business Center,2,7,8,Friday
661,Movie Theater,Cinema Rise (シネマライズ),Movie Theater,Train Station,Inokashira Line Shibuya Station (IN01) (京王井の頭線 渋谷駅),Rail Station,4,7,8,Friday
662,Hobby Shop,animate (アニメイト),Retail,Bookstore,ブックオフ秋葉原駅前店,Used Bookstore,3,5,7,Sunday
663,Neighborhood,,,Train Station,Central Gate (中央改札 (Yostar改札)),Structure,1,4,5,Sunday
664,Fast Food Restaurant,マクドナルド,Fast Food Restaurant,Mall,Arcakit Kinshicho (アルカキット錦糸町),Shopping Mall,2,4,4,Saturday
665,Park,Big Thunder Mountain (ビッグサンダー・マウンテン),Amusement Park,Park,Tokyo Disneyland (東京ディズニーランド),Amusement Park,1,8,9,Wednesday
666,Train Station,Central Gate (中央改札 (Yostar改札)),Structure,Other Nightlife,,,1,6,7,Sunday
667,Subway,,,Japanese Restaurant,Stameshi Don Don (情熱のすためし どんどん),Donburi Restaurant,2,10,11,Friday
668,Ramen /  Noodle House,Ramen Jiro (ラーメン二郎 府中店),Ramen Restaurant,Italian Restaurant,Saizeriya (サイゼリヤ),Italian Restaurant,4,9,11,Thursday
669,Train Station,Fuchūhommachi Station (府中本町駅),Rail Station,Shrine,Okunitama Shrine (大國魂神社),Shrine,1,10,10,Friday
670,Department Store,Seibu (西武池袋本店),Department Store,Hobby Shop,Comic Toranoana B (コミックとらのあな 池袋店),Comic Book Store,3,5,6,Monday
671,Convention Center,Tokyo Big Sight (東京ビッグサイト (東京国際展示場)),Italian Restaurant,Sporting Goods Shop,GALLERY・2新宿アドホック 5F店,Sporting Goods Retail,1,6,7,Saturday
672,Subway,Omote-sando Station (表参道駅),Rail Station,Music Venue,Omotesando Ground (表参道GROUND),Rock Club,2,8,10,Wednesday
673,Park,Mohri Garden (毛利庭園),Landmarks and Outdoors,Subway,Omote-sando Station (表参道駅),Rail Station,2,11,11,Sunday
674,Hotel,Hotel New Koyo (ホテルニュー紅陽),Hotel,Subway,Ginza Station (銀座駅),Rail Station,2,11,13,Sunday
675,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Ramen /  Noodle House,Kyushu Jangara (九州じゃんがら),Ramen Restaurant,4,10,11,Wednesday
676,Subway,Center Minami Station (センター南駅),Metro Station,Subway,Center Minami Station (センター南駅),Metro Station,1,11,11,Thursday
677,Subway,Center Minami Station (センター南駅),Metro Station,Subway,Center Minami Station (センター南駅),Metro Station,4,9,10,Monday
678,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,4,10,11,Monday
679,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Subway,Iwamotocho Station (S08) (岩本町駅),Rail Station,2,11,12,Monday
680,Art Gallery,KDDI デザイニングスタジオ,Landmarks and Outdoors,Subway,Meiji-jingumae 'Harajuku' Station (明治神宮前 駅),Metro Station,2,2,3,Friday
681,Library,目黒本町図書館,Library,Mall,Shibuya Hikarie (渋谷ヒカリエ),Business Center,4,8,10,Saturday
682,Plaza,Hachiko Square (ハチ公前広場),Plaza,General Entertainment,タイフェスティバル2012 代々木,Arts and Entertainment,1,8,9,Sunday
683,Subway,Marunouchi Line Korakuen Station (M22) (丸ノ内線 後楽園駅),Metro Station,General College & University,Akamon Gate (赤門),Monument,3,23,23,Saturday
684,Department Store,AEON (イオン 東雲店),Pet Grooming Service,Subway,Yurakucho Line Yurakucho Station (Y18) (有楽町線 有楽町駅),Metro Station,4,12,13,Thursday
685,Subway,Yurakucho Line Yurakucho Station (Y18) (有楽町線 有楽町駅),Metro Station,Subway,Shin-itabashi Station (I17) (新板橋駅),Metro Station,1,11,12,Monday
686,College Academic Building,,,Light Rail,,,2,11,12,Tuesday
687,Italian Restaurant,Trattoria CASALE del PACIOCCONE,Italian Restaurant,Subway,Omote-sando Station (表参道駅),Rail Station,2,10,11,Wednesday
688,Shrine,Meiji Jingu Shrine (明治神宮),Historic and Protected Site,Government Building,Tokyo Tower (東京タワー),Structure,1,10,11,Monday
689,Japanese Restaurant,Tonkatsu Wako (とんかつ和幸),Tonkatsu Restaurant,Subway,Tozai Line Nihombashi Station (T10) (東西線 日本橋駅),Metro Station,3,10,11,Tuesday
690,Subway,Asakusa Line Daimon Station (A09) (都営浅草線 大門駅),Metro Station,Art Museum,"The National Art Center, Tokyo (国立新美術館)",Art Museum,2,5,6,Sunday
691,Building,都電荒川電車営業所,Office,Train Station,Akabane Station (赤羽駅),Rail Station,2,5,6,Saturday
692,Convention Center,Tokyo Big Sight (東京ビッグサイト (東京国際展示場)),Italian Restaurant,Convention Center,Tokyo Big Sight (東京ビッグサイト (東京国際展示場)),Italian Restaurant,2,0,2,Sunday
693,Arcade,Tokyo Leisure Land (東京レジャーランド 秋葉原2号店),Arcade,Restaurant,Angely Fresca (アンジェリー フレスカ),Restaurant,1,11,12,Friday
694,Mall,Shibuya Hikarie (渋谷ヒカリエ),Business Center,Subway,Ginza Station (銀座駅),Rail Station,4,8,8,Thursday
695,Subway,,,Building,江東区森下文化センター,Cultural Center,2,8,9,Saturday
696,College Academic Building,7号館,College Academic Building,College Academic Building,早稲田大学 32号館,College Arts Building,4,4,5,Thursday
697,Clothing Store,THE SUIT COMPANY飯田橋店,Clothing Store,Ramen /  Noodle House,Menya Musashi Takatora (麺屋武蔵 鷹虎),Ramen Restaurant,3,8,9,Tuesday
698,Subway,,,Bridge,Sasame Bridge (笹目橋),Landmarks and Outdoors,2,1,2,Saturday
699,Subway,,,Mall,AEON Mall (イオンモール北戸田),Shopping Mall,2,1,2,Saturday
700,Bridge,居木橋,Public Transportation,Coffee Shop,Doutor Coffee Shop (ドトールコーヒーショップ),Café,3,5,6,Sunday
701,Train Station,Ōsaki Station (大崎駅),Rail Station,Coffee Shop,Doutor Coffee Shop (ドトールコーヒーショップ),Café,2,6,6,Sunday
702,Subway,Toyosu Station (豊洲駅),Metro Station,Mall,,,4,2,3,Monday
703,Subway,Toyosu Station (豊洲駅),Metro Station,Mall,,,1,2,3,Monday
704,Coffee Shop,Starbucks (スターバックス),Coffee Shop,Building,Shinjuku NS Building (新宿NSビル),Business Center,4,23,1,Friday
705,Bus Station,高田馬場駅前バス停,Bus Stop,Other Great Outdoors,,,1,8,9,Sunday
706,Subway,Hanzomon Line Oshiage 'SKYTREE' Station (Z14) (半蔵門線 押上<スカイツリー前>駅),Metro Station,Video Store,SHIBUYA TSUTAYA,Retail,1,8,9,Tuesday
707,Record Shop,TOWER RECORDS,Retail,Miscellaneous Shop,ハロー!プロジェクト オフィシャルショップ 渋谷109-2店,Miscellaneous Store,4,9,10,Sunday
708,Subway,Marunouchi Line Tokyo Station (M17) (丸ノ内線 東京駅),Metro Station,Mall,AKIBA TOLIM (アキバ・トリム),Shopping Mall,4,2,2,Saturday
709,Hobby Shop,animate (アニメイト),Retail,Subway,Ginza Line Ginza Station (G09) (銀座線 銀座駅),Metro Station,4,5,6,Thursday
710,Music Venue,カワイミュージックスクール・レプレ新宿,Music School,Electronics Store,Yamada Denki (ヤマダ電機LABI品川大井町店),Home Appliance Store,4,5,6,Saturday
711,Bookstore,Books Sanseido (三省堂書店),Bookstore,Ramen /  Noodle House,ラーメン康竜秋葉原駅前店,Ramen Restaurant,3,8,9,Tuesday
712,Electronics Store,あきばおー五号店,Discount Store,Fast Food Restaurant,McDonald's (マクドナルド),Fast Food Restaurant,2,5,5,Sunday
713,Fast Food Restaurant,McDonald's (マクドナルド),Fast Food Restaurant,Subway,Hiro-o Station (H03) (広尾駅),Rail Station,1,6,7,Sunday
714,Arcade,プロジェクトA池袋店,Arcade,Train Station,Shin-Yurigaoka Station (OH23) (新百合ヶ丘駅),Rail Station,4,6,8,Sunday
715,Arcade,Tokyo Leisure Land (東京レジャーランド 秋葉原2号店),Arcade,Hobby Shop,GANKING 秋葉原店,Hobby Store,4,6,7,Saturday
716,Asian Restaurant,Magic Spice (マジックスパイス),Japanese Curry Restaurant,Café,Cafe Trois Chambres (トロワ・シャンブル),Café,4,7,8,Saturday
717,Subway,Suitengumae Station (Z10) (水天宮前駅),Metro Station,Ramen /  Noodle House,Inase (人形町らーめん いなせ),Ramen Restaurant,3,9,10,Wednesday
718,Department Store,Isetan (伊勢丹 新宿店),Department Store,Japanese Restaurant,Tonchinkan (豚珍館),Tonkatsu Restaurant,4,6,7,Monday
719,Convention Center,Nakano Sunplaza (中野サンプラザ),Convention Center,Arcade,Taito Station (タイトーステーション 新宿東口店),Arcade,4,4,5,Saturday
720,Train Station,Kōenji Station (高円寺駅),Rail Station,Park,馬橋公園,Park,4,4,5,Thursday
721,Hobby Shop,Hands (ハンズ),Furniture and Home Store,Miscellaneous Shop,ハロー!プロジェクト オフィシャルショップ 渋谷109-2店,Miscellaneous Store,2,3,3,Monday
722,BBQ Joint,山水苑,BBQ Joint,BBQ Joint,山水苑,BBQ Joint,3,2,3,Friday
723,Train Station,Keikyu Shinagawa Station (KK01) (京急 品川駅),Rail Station,Subway,Sengakuji Station (泉岳寺駅),Rail Station,4,11,13,Tuesday
724,Department Store,Matsuya Ginza (松屋銀座),Department Store,Gym / Fitness Center,TIPNESS MARUNOUCHI STYLE (ティップネス 丸ノ内スタイル),"Cafe, Coffee, and Tea House",1,8,10,Saturday
725,Korean Restaurant,Podo (ぽど),Korean Restaurant,Gym / Fitness Center,MARUNOUCHI Bike & Run,Sports Club,1,13,14,Wednesday
726,Subway,Marunouchi Line Otemachi Station (M18) (丸ノ内線 大手町駅),Metro Station,Smoke Shop,日本IBM 本社事業所タウンサイド喫煙エリア,Plaza,1,0,0,Monday
727,Subway,Marunouchi Line Ikebukuro Station (M25) (丸ノ内線 池袋駅),Metro Station,Smoke Shop,日本IBM 本社事業所リバーサイド喫煙エリア,Plaza,3,0,1,Monday
728,Electronics Store,ark (パソコンショップアーク),Computers and Electronics Retail,Ramen /  Noodle House,Komoro Soba (小諸そば),Soba Restaurant,3,5,7,Sunday
729,Train Station,Ōokayama Station (大岡山駅),Rail Station,Spa / Massage,稲荷湯,Bath House,1,11,13,Monday
730,Event Space,belle salle (ベルサール秋葉原),Event Space,Electronics Store,Sofmap Akiba 1st Store (ソフマップAKIBA 1号店 サブカル・モバイル館),Retail,4,6,7,Saturday
731,Steakhouse,Bikkuri Donkey (びっくりドンキー),Burger Joint,Ramen /  Noodle House,ろくとん軒世田谷店,Ramen Restaurant,3,5,5,Wednesday
732,Asian Restaurant,クロモンカフェ,Café,Subway,Sengakuji Station (泉岳寺駅),Rail Station,1,3,4,Saturday
733,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Bar,HUB,Pub,1,9,9,Saturday
734,Airport,Terminal 2 (第2ターミナル),Airport Terminal,Electronics Store,QC PASS,Electronics Store,4,3,4,Sunday
735,Asian Restaurant,清香苑本店,BBQ Joint,Electronics Store,Yodobashi Camera (ヨドバシカメラ 新宿西口本店),Computers and Electronics Retail,2,9,10,Friday
736,Embassy / Consulate,Embassy of the Republic of Kenya (ケニア共和国大使館),Embassy or Consulate,Train Station,Toritsu-daigaku Station (TY06) (都立大学駅),Rail Station,3,10,11,Saturday
737,Furniture / Home Store,ドイト板橋志村店,Home Improvement Service,Arcade,プロジェクトA池袋店,Arcade,4,7,8,Sunday
738,Music Venue,LIQUIDROOM,Night Club,Mall,Shibuya Hikarie (渋谷ヒカリエ),Business Center,1,7,9,Tuesday
739,Music Venue,渋谷DESEO,Concert Hall,Music Venue,LIQUIDROOM,Night Club,1,10,11,Monday
740,Temple,本寿寺,Temple,Train Station,,,4,5,7,Sunday
741,Bank,Sumitomo Mitsui Banking (三井住友銀行 浦和支店),Bank,Bank,Sumitomo Mitsui Banking (三井住友銀行 浦和支店),Bank,3,4,4,Monday
742,Bar,さっちも,Sake Bar,Government Building,,,2,14,15,Friday
743,Park,Hikarigaoka Park (光が丘公園),Park,Playground,Shakujii Park (石神井公園),Playground,2,6,6,Sunday
744,Bowling Alley,Round1 (ラウンドワン 池袋店),Arcade,Hobby Shop,Comic Toranoana B (コミックとらのあな 池袋店),Comic Book Store,1,9,10,Wednesday
745,Steakhouse,Tokyo Butchers (東京ブッチャーズ),Bar,Bar,,,3,2,3,Friday
746,Electronics Store,ヤマダアウトレット 江東南砂店,Home Appliance Store,Bowling Alley,Round1 (ラウンドワン 南砂店),Bowling Alley,2,3,4,Sunday
747,Deli / Bodega,HottoMotto Grill (ほっともっとグリル),Restaurant,Bowling Alley,Round1 (ラウンドワン 南砂店),Bowling Alley,3,3,3,Saturday
748,University,Tokyo Denki University (東京電機大学 東京千住キャンパス),College and University,Train Station,Takenotsuka Station (TS14) (竹ノ塚駅),Convenience Store,3,10,11,Tuesday
749,University,Tokyo Denki University (東京電機大学 東京千住キャンパス),College and University,Arcade,ゲームオモロン北千住店,Arcade,1,12,13,Friday
750,Train Station,Maihama Station (舞浜駅),Rail Station,Park,Tokyo DisneySea (東京ディズニーシー),Amusement Park,2,23,23,Friday
751,Aquarium,Tokyo Sea Life Park (葛西臨海水族園),Aquarium,Aquarium,Tokyo Sea Life Park (葛西臨海水族園),Aquarium,4,4,5,Sunday
752,Subway,Nogizaka Station (C05) (乃木坂駅),Rail Station,Bar,VANITY LOUNGE,Night Club,1,7,8,Saturday
753,Bar,vivo daily stand 中野本店,Bar,Deli / Bodega,キッチンオリジン 中野新井店,"Cafe, Coffee, and Tea House",2,11,12,Thursday
754,Italian Restaurant,イタリア食堂TOKABO神楽坂店,Italian Restaurant,General College & University,Institut français du Japon (アンスティチュ・フランセ東京),Community College,2,5,5,Sunday
755,Spa / Massage,したまち整骨院,Orthopedic Surgeon,Stadium,Nippon Budokan (日本武道館),Stadium,2,4,5,Saturday
756,Electronics Store,Bic Camera (ビックカメラ 池袋本店),Home Appliance Store,Subway,Akabanebashi Station (E21) (赤羽橋駅),Rail Station,2,3,5,Friday
757,Train Station,Takeshita Exit (竹下口),Rail Station,Bookstore,COMIC ZIN,Comic Book Store,2,2,3,Sunday
758,Bar,bar cacoi,Bar,Concert Hall,Shibuya Public Hall (渋谷公会堂),Community and Government,3,5,5,Saturday
759,Subway,Kudanshita Station (九段下駅),Rail Station,Concert Hall,Shibuya Public Hall (渋谷公会堂),Community and Government,1,4,5,Saturday
760,Government Building,Manseibashi Police Station (万世橋警察署),Police Station,Subway,Hibiya Line Akihabara Station (H16) (日比谷線 秋葉原駅),Metro Station,3,6,6,Wednesday
761,Post Office,Kanda Post Office (神田郵便局),Post Office,College Academic Building,日本大学理工学部駿河台校舎 8号館,College Academic Building,4,2,3,Wednesday
762,Subway,Hanzomon Station (Z05) (半蔵門駅),Rail Station,Airport,Terminal 2 (第2ターミナル),Airport Terminal,2,8,10,Tuesday
763,Chinese Restaurant,,,Subway,Hanzomon Station (Z05) (半蔵門駅),Rail Station,1,4,4,Monday
764,Movie Theater,Shinjuku Wald 9 (新宿バルト9),Movie Theater,Japanese Restaurant,Kabuto (カブト),Bar,2,8,8,Saturday
765,Arcade,Taito Station (タイトーステーション 新宿南口ゲームワールド店),Arcade,German Restaurant,Riesling (リースリング),German Restaurant,1,9,10,Thursday
766,Subway,Center Kita Station (センター北駅),Rail Station,Subway,Center Kita Station (センター北駅),Rail Station,3,6,7,Wednesday
767,Subway,Center Kita Station (センター北駅),Rail Station,Mall,Northport Mall (ノースポート・モール),Shopping Mall,1,9,10,Thursday
768,Fast Food Restaurant,McDonald's (マクドナルド),Burger Joint,Park,Ikebukuro Nishiguchi Park (池袋西口公園),Park,4,1,2,Saturday
769,Subway,Yoyogi-koen Station (C02) (代々木公園駅),Metro Station,Convenience Store,Lawson (ローソン 三郷戸ヶ崎五丁目店),Convenience Store,4,13,14,Wednesday
770,Library,朝霞市立図書館,Library,Convenience Store,セブン-イレブン,Convenience Store,1,6,7,Sunday
771,Bridge,中島橋,Bridge,Convenience Store,Lawson (ローソン 新宿一丁目店),Convenience Store,1,23,0,Tuesday
772,Coffee Shop,Starbucks (スターバックス),Coffee Shop,Office,Microsoft Japan (日本マイクロソフト),Office,1,4,5,Tuesday
773,Toy / Game Store,,,Train Station,Noborito Station (登戸駅),Rail Station,1,5,6,Sunday
774,Library,Nihonbashi Library (日本橋図書館),Library,Subway,Toyocho Station (T14) (東陽町駅),Rail Station,4,5,6,Saturday
775,Bar,Acid Panda Cafe,Night Club,Subway,Ginza Line Shibuya Station (G01) (銀座線 渋谷駅),Metro Station,2,11,12,Tuesday
776,Train Station,JR Shinjuku Sta. East Gate (JR 新宿駅東口),Structure,Mall,,,1,8,8,Saturday
777,Food & Drink Shop,Daiei (ダイエー 向ヶ丘店),Grocery Store,Food & Drink Shop,とよんちのたまご SHIMOKITAZAWA,Bakery,1,4,6,Saturday
778,Indian Restaurant,NAMASTE (ナマステ 本郷三丁目店),Indian Restaurant,Building,Roppongi Hills Mori Tower (六本木ヒルズ森タワー),Business Center,4,4,5,Thursday
779,University,理学部1号館,College Science Building,Food & Drink Shop,アブアブ赤札堂根津店,Supermarket,4,1,2,Thursday
780,Electronics Store,Yamada Denki LABI 1 (ヤマダデンキ LABI1 LIFE SELECT 池袋),Home Appliance Store,Bus Station,Otsuka Yonchome (Otsuka 4) (大塚四丁目バス停),Bus Stop,3,4,6,Monday
781,Bus Station,Otsuka Yonchome (Otsuka 4) (大塚四丁目バス停),Bus Stop,Bus Station,Otsuka Yonchome (Otsuka 4) (大塚四丁目バス停),Bus Stop,1,5,6,Monday
782,Subway,Korakuen Station (後楽園駅),Rail Station,Train Station,Musashi-Mizonokuchi Station (武蔵溝ノ口駅),Rail Station,3,8,9,Wednesday
783,Stadium,Tokyo Dome (東京ドーム),Stadium,Hobby Shop,Hands (ハンズ),Furniture and Home Store,4,9,9,Thursday
784,Coffee Shop,Starbucks (スターバックス),Coffee Shop,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,4,7,8,Saturday
785,Bookstore,K-BOOKS,Bookstore,Ramen /  Noodle House,Hakata Furyu (博多風龍 秋葉原総本店),Ramen Restaurant,2,9,10,Friday
786,College & University,7 Bldg. (立教大学 7号館),College Academic Building,Coffee Shop,Doutor Coffee Shop (ドトールコーヒーショップ),Café,1,5,6,Sunday
787,Music Store,Ikebe Musical Instruments Store (イケベ楽器 リボレ秋葉原店),Music Store,Government Building,Hoku Topia (北とぴあ),Community Center,3,3,4,Sunday
788,Electronics Store,Yamada Denki LABI 1 (ヤマダデンキ LABI1 LIFE SELECT 池袋),Home Appliance Store,Ramen /  Noodle House,万世麺店 池袋サンシャイン店,Noodle Restaurant,4,5,5,Saturday
789,Arcade,GAME PARK スマイル館 お茶の水店,Arcade,University,Senshu Univ. Kanda campus (専修大学 神田キャンパス),College and University,4,9,10,Tuesday
790,Bakery,Signifiant Signifié,Bakery,Café,WIRED CAFE NEWS,Café,3,3,4,Monday
791,Mall,Omotesando Hills (表参道ヒルズ),Shopping Mall,Coffee Shop,スターバックス,Coffee Shop,2,6,6,Tuesday
792,Department Store,Mitsukoshi (銀座三越),Department Store,Hobby Shop,Akihabara Gamers (AKIHABARAゲーマーズ),Hobby Store,4,5,7,Tuesday
793,Hobby Shop,Gamers (ゲーマーズ),Hobby Store,Hobby Shop,animate (アニメイト),Comic Book Store,1,5,5,Wednesday
794,Gym / Fitness Center,渋谷区猿楽トレーニングジム,Dance Studio,Bridge,並木橋,Bridge,4,10,12,Saturday
795,Train Station,Inokashira Line Shibuya Station (IN01) (京王井の頭線 渋谷駅),Rail Station,Food & Drink Shop,LIFE (ライフ 渋谷東店),Grocery Store,1,10,11,Sunday
796,Subway,Shinjuku Line Shinjuku Station (S01) (都営新宿線 新宿駅),Metro Station,Japanese Restaurant,Kitchen Nankai (キッチン南海),Teishoku Restaurant,3,7,7,Thursday
797,Japanese Restaurant,鶏繁 麻布十番店,Japanese Restaurant,Restaurant,,,1,13,14,Friday
798,Subway,Kagurazaka Station (T05) (神楽坂駅),Rail Station,Chinese Restaurant,張家代々木店,Chinese Restaurant,3,3,4,Thursday
799,Bookstore,Books Kinokuniya Tokyo,Bookstore,Furniture / Home Store,ACTUS SHINJUKU (アクタス 新宿店),Furniture and Home Store,1,9,9,Thursday
800,Stadium,Tokyo Dome (東京ドーム),Stadium,Concert Hall,Tokyo Dome City Hall (東京ドームシティホール),Concert Hall,3,12,13,Friday
801,Comedy Club,黒門亭,Comedy Club,Park,Ueno Park (上野恩賜公園),Urban Park,1,8,8,Sunday
802,College Academic Building,A棟,College Academic Building,College Academic Building,A棟,College Academic Building,2,4,5,Thursday
803,Bank,東日本銀行八幡山支店,Bank,College Academic Building,電気通信大学西3号館,College Academic Building,1,0,0,Monday
804,Train Station,JR 浅草橋駅西口,Rail Station,Paper / Office Supplies Store,Shimojima (シモジマ 浅草橋本店),Paper Supplier,1,3,3,Thursday
805,Train Station,Keio Shinjuku Station (KO01) (京王 新宿駅),Rail Station,Bowling Alley,Round1 Stadium (ラウンドワンスタジアム),Bowling Alley,2,11,12,Friday
806,Japanese Restaurant,鳥つねAKIBA-ICHI店,BBQ Joint,Playground,Kamezuka Park (亀塚公園),Park,4,2,3,Monday
807,Office,Akihabara UDX (秋葉原UDX),Business Center,Bar,THE有鳥天酒場,Sake Bar,4,10,12,Friday
808,Light Rail,Miyanosaka Station (SG07) (宮の坂駅),Rail Station,College Academic Building,スカイラウンジ,College Cafeteria,1,5,6,Tuesday
809,Train Station,Yako Station (矢向駅),Rail Station,Train Station,Kashimada Station (鹿島田駅),Rail Station,2,9,9,Friday
810,Park,天沼弁天池公園,Park,Playground,上荻児童遊園,Playground,1,14,16,Thursday
811,Ramen /  Noodle House,大勝軒,Ramen Restaurant,Bookstore,Mandarake (まんだらけ),Comic Book Store,3,7,7,Thursday
812,Arcade,Taito Station (タイトーステーション 新宿南口ゲームワールド店),Arcade,Japanese Restaurant,とりでん 西武新宿駅前店,Japanese Restaurant,3,9,9,Sunday
813,Event Space,belle salle (ベルサール秋葉原),Event Space,Convention Center,Nakano Sunplaza (中野サンプラザ),Convention Center,1,11,12,Friday
814,Road,Yashio PA (八潮PA),Travel and Transportation,Train Station,Nakano Station (中野駅),Rail Station,4,7,8,Monday
815,Light Rail,Minowabashi Station (三ノ輪橋停留場),Tram Station,Subway,Suehirocho Station (G14) (末広町駅),Metro Station,4,1,2,Monday
816,Airport,Terminal 1 (第1ターミナル),Airport Terminal,Airport,Terminal 1 (第1ターミナル),Airport Terminal,1,5,6,Tuesday
817,Subway,,,Mall,Lumine 2 (ルミネ新宿2),Shopping Mall,1,9,10,Saturday
818,Bus Station,Kichijoji Sta. (South Exit) Bus Stop (吉祥寺駅(南口)バス停),Bus Stop,Hobby Shop,animate (アニメイト 吉祥寺店),Retail,3,9,9,Thursday
819,Plaza,Yebisu Garden Place Hiroba (恵比寿ガーデンプレイスひろば),Plaza,Music Venue,恵比寿 天窓.switch,Music Venue,4,9,9,Thursday
820,Temple,吉祥寺,Temple,Mall,Shibuya Hikarie (渋谷ヒカリエ),Business Center,1,1,2,Sunday
821,Music Venue,渋谷RUIDO K2,Rock Club,Ramen /  Noodle House,Tanaka Sobaten (田中そば店),Ramen Restaurant,3,5,6,Sunday
822,General Entertainment,タイトーダーツスタジアム 渋谷,Arts and Entertainment,Japanese Restaurant,東京チカラめし 渋谷1号店,Diner,4,0,0,Saturday
823,Subway,Onarimon Station (I06) (御成門駅),Rail Station,Subway,Asakusa Line Mita Station (A08) (都営浅草線 三田駅),Metro Station,2,4,5,Friday
824,Hobby Shop,のりもの倶楽部,Retail,Medical Center,Tokyo Teishin Hospital (東京逓信病院),Hospital,3,6,7,Friday
825,Train Station,Akihabara Electric Town Exit (電気街口),Structure,Bridge,新見附橋,Landmarks and Outdoors,4,3,3,Thursday
826,Dumpling Restaurant,Shokujin Gyozao (食神 餃子王),Chinese Restaurant,Arcade,アドアーズ調布南口店,Arcade,4,5,6,Saturday
827,Temple,Jindai-ji Temple (深大寺),Temple,Bus Station,北の台,Public Transportation,3,10,10,Saturday
828,Clothing Store,アラン フィガレ,Women's Store,Government Building,Tokyo Metropolitan Government Building (東京都庁),Government Building,2,5,5,Tuesday
829,Garden,Japanese Garden - Hotel New Otani (ホテルニューオータニ 日本庭園),Landmarks and Outdoors,Airport,Terminal 2 (第2ターミナル),Airport Terminal,3,3,3,Sunday
830,Sporting Goods Shop,OSHMAN'S,Sporting Goods Retail,Sporting Goods Shop,patagonia (Patagonia),Golf Store,4,6,6,Sunday
831,Temple,駒形堂,Temple,Subway,Asakusa Line Asakusa Station (A18) (都営浅草線 浅草駅),Metro Station,1,7,8,Tuesday
832,Subway,Chiyoda Line Kita-senju Station (C18) (千代田線 北千住駅),Metro Station,Café,PRONTO,Café,1,22,22,Monday
833,Office,株式会社 ギュギュギュギュギュイーン,Office,Subway,Shin-ochanomizu Station (C12) (新御茶ノ水駅),Metro Station,3,8,9,Monday
834,Japanese Restaurant,Matsuya (松屋),Restaurant,Café,Cure Maid Café,Café,4,5,6,Tuesday
835,Bookstore,K-BOOKS,Bookstore,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,1,7,9,Wednesday
836,Subway,Center Kita Station (センター北駅),Rail Station,Subway,Takata Station (高田駅),Rail Station,4,4,5,Friday
837,Subway,,,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,3,3,4,Sunday
838,Playground,龍閑児童公園,Park,Park,Horin Park (芳林公園),Park,1,2,4,Thursday
839,Playground,龍閑児童公園,Park,Bridge,Mansei Bridge (万世橋),Bridge,4,1,3,Monday
840,College Academic Building,東5号館,College Academic Building,University,西8号館,College Academic Building,1,0,1,Tuesday
841,College Academic Building,ハルモニア,College Cafeteria,Department Store,Parco (調布PARCO),Shopping Mall,3,9,10,Saturday
842,Subway,Mitsukoshimae Station (三越前駅),Rail Station,Mall,COREDO Muromachi 1 (コレド室町1),Landmarks and Outdoors,4,6,7,Saturday
843,Arcade,Taito Station (タイトーステーション 新宿南口ゲームワールド店),Arcade,Electronics Store,Apple Shibuya (Apple 渋谷),Electronics Store,1,7,9,Wednesday
844,Café,Caffè Veloce (カフェ・ベローチェ),Coffee Shop,Café,Caffè Veloce (カフェ・ベローチェ),Coffee Shop,3,8,9,Monday
845,Café,Caffè Veloce (カフェ・ベローチェ),Coffee Shop,Bar,Bar Android,Bar,1,8,10,Monday
846,Ramen /  Noodle House,Azabu Ramen (麻布ラーメン 麻布十番店),Ramen Restaurant,Bus Station,中ノ橋バス停,Bus Stop,1,5,5,Thursday
847,Bookstore,Tsutaya Books (六本木 蔦屋書店),Bookstore,Coffee Shop,TULLY'S COFFEE 麻布十番店,Café,2,0,0,Sunday
848,Coffee Shop,Tully's Coffee,Coffee Shop,Bank,中京銀行 東京支店,Bank,2,0,0,Friday
849,Bridge,汐彩橋,Landmarks and Outdoors,Convention Center,Tokyo International Forum (東京国際フォーラム),Convention Center,3,7,7,Saturday
850,Sandwich Place,サブウェイ 渋谷文化村通り店,Sandwich Spot,Department Store,Tokyu Department Store (東急百貨店 本店),Department Store,2,8,8,Friday
